Run Date,Action,Symbol,Description,Quantity,Price ($),Amount ($),Settlement Date
3/7/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,397.58,
3/3/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,186,20.78,-3865.08,3/4/25
2/28/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,141.86,
2/28/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,100,19.5,-1950,3/3/25
2/26/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,325,20.1,-6532.5,2/27/25
2/7/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,118.98,
1/28/25,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,25,24.89,-622.25,1/29/25
1/24/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,144.24,
12/31/24,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,113.54,
12/26/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,143.66,
12/9/24,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,101.64,
11/21/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,141.35,
11/14/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,5,52.98,-264.9,11/15/24
11/14/24,YOU BOUGHT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,102,24.39,-2487.61,11/15/24
10/24/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,137.88,
9/26/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,136.17,
9/3/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,23,49.5,-1138.5,9/4/24
8/22/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,130.87,
8/7/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,31,47.15,-1461.65,8/8/24
8/7/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0.813,47.15,-38.33,8/8/24
8/5/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,52,47.2,-2454.4,8/6/24
8/5/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0.966,47.2,-45.6,8/6/24
7/30/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,29,49.5,-1435.5,7/31/24
7/30/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0.503,49.5,-24.9,7/31/24
7/25/24,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,36.39,
7/24/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,30,50.2,-1506,7/25/24
7/18/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,40,51.75,-2070,7/19/24
7/15/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,18,53.1,-955.82,7/16/24
7/15/24,YOU BOUGHT NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0.831,53.13,-44.15,7/16/24
